,method-balance,n_features,optimal-depth,pre@recall50
134,pca_10-ANOVA,4,6,0.06550687285223368
146,pca_10-ANOVA,7,6,0.0654928065278076
130,pca_10-ANOVA,3,6,0.0654928065278076
131,pca_10-RFECV,3,6,0.0654928065278076
126,pca_10-ANOVA,2,6,0.0654065084308882
154,pca_10-ANOVA,9,6,0.06539948453608248
155,pca_10-RFECV,9,6,0.06539948453608248
158,pca_10-ANOVA,10,6,0.06539948453608248
142,pca_10-ANOVA,6,6,0.06539948453608248
147,pca_10-RFECV,7,6,0.06539246214968324
138,pca_10-ANOVA,5,6,0.06538544127120464
159,pca_10-RFECV,10,6,0.06531313782361156
139,pca_10-RFECV,5,6,0.06531313782361156
123,pca_10-RFECV,1,6,0.06531313782361156
135,pca_10-RFECV,4,6,0.06531313782361156
143,pca_10-RFECV,6,6,0.0653061224489796
151,pca_10-RFECV,8,6,0.06529910858124799
150,pca_10-ANOVA,8,6,0.06529910858124799
122,pca_10-ANOVA,1,6,0.06529910858124799
127,pca_10-RFECV,2,6,0.06529910858124799
