,method-balance,n_features,optimal-depth,pre@recall50
19,pca_rbf-RFECV,5,3,0.07620181574639083
11,pca_rbf-RFECV,3,3,0.07620041753653445
23,pca_rbf-RFECV,6,3,0.07620041753653445
39,pca_rbf-RFECV,10,3,0.07596253902185224
115,pca_poly-RFECV,9,3,0.07589682774977764
35,pca_rbf-RFECV,9,3,0.07589682774977764
107,pca_poly-RFECV,7,3,0.0755174875089222
31,pca_rbf-RFECV,8,3,0.07543959160521838
111,pca_poly-RFECV,8,3,0.07543959160521838
119,pca_poly-RFECV,10,3,0.07543959160521838
87,pca_poly-RFECV,2,3,0.07543959160521838
103,pca_poly-RFECV,6,3,0.07543959160521838
15,pca_rbf-RFECV,4,3,0.07543959160521838
99,pca_poly-RFECV,5,3,0.07543959160521838
83,pca_poly-RFECV,1,3,0.07543959160521838
27,pca_rbf-RFECV,7,3,0.07543959160521838
42,pca_cos-ANOVA,1,3,0.07539963219691612
74,pca_cos-ANOVA,9,3,0.07539963219691612
78,pca_cos-ANOVA,10,3,0.07539963219691612
70,pca_cos-ANOVA,8,3,0.07539963219691612
66,pca_cos-ANOVA,7,3,0.07539963219691612
50,pca_cos-ANOVA,3,3,0.07539963219691612
58,pca_cos-ANOVA,5,3,0.07539963219691612
62,pca_cos-ANOVA,6,3,0.07539963219691612
54,pca_cos-ANOVA,4,3,0.07539963219691612
46,pca_cos-ANOVA,2,3,0.07539963219691612
91,pca_poly-RFECV,3,3,0.0753754604703882
95,pca_poly-RFECV,4,3,0.07515185760700664
7,pca_rbf-RFECV,2,3,0.07498267498267498
47,pca_cos-RFECV,2,3,0.07476635514018691
59,pca_cos-RFECV,5,3,0.07476635514018691
