,method-balance,n_features,optimal-depth,pre@recall50
51,pca_cos-RFECV,3,2,0.0759400705052879
57,pca_cos-spearman,5,2,0.07215153267784846
40,pca_cos-pearson,1,2,0.07215153267784846
77,pca_cos-spearman,10,2,0.07215153267784846
76,pca_cos-pearson,10,2,0.07215153267784846
56,pca_cos-pearson,5,2,0.07215153267784846
44,pca_cos-pearson,2,2,0.07215153267784846
73,pca_cos-spearman,9,2,0.07215153267784846
72,pca_cos-pearson,9,2,0.07215153267784846
45,pca_cos-spearman,2,2,0.07215153267784846
41,pca_cos-spearman,1,2,0.07215153267784846
69,pca_cos-spearman,8,2,0.07215153267784846
48,pca_cos-pearson,3,2,0.07215153267784846
49,pca_cos-spearman,3,2,0.07215153267784846
65,pca_cos-spearman,7,2,0.07215153267784846
64,pca_cos-pearson,7,2,0.07215153267784846
52,pca_cos-pearson,4,2,0.07215153267784846
53,pca_cos-spearman,4,2,0.07215153267784846
61,pca_cos-spearman,6,2,0.07215153267784846
60,pca_cos-pearson,6,2,0.07215153267784846
68,pca_cos-pearson,8,2,0.07215153267784846
113,pca_poly-spearman,9,2,0.07127911842655879
117,pca_poly-spearman,10,2,0.07127911842655879
96,pca_poly-pearson,5,2,0.07127911842655879
97,pca_poly-spearman,5,2,0.07127911842655879
116,pca_poly-pearson,10,2,0.07127911842655879
100,pca_poly-pearson,6,2,0.07127911842655879
112,pca_poly-pearson,9,2,0.07127911842655879
109,pca_poly-spearman,8,2,0.07127911842655879
108,pca_poly-pearson,8,2,0.07127911842655879
105,pca_poly-spearman,7,2,0.07127911842655879
101,pca_poly-spearman,6,2,0.07127911842655879
104,pca_poly-pearson,7,2,0.07127911842655879
0,pca_rbf-pearson,1,2,0.07127911842655879
80,pca_poly-pearson,1,2,0.07127911842655879
93,pca_poly-spearman,4,2,0.07127911842655879
25,pca_rbf-spearman,7,2,0.07127911842655879
92,pca_poly-pearson,4,2,0.07127911842655879
4,pca_rbf-pearson,2,2,0.07127911842655879
5,pca_rbf-spearman,2,2,0.07127911842655879
9,pca_rbf-spearman,3,2,0.07127911842655879
12,pca_rbf-pearson,4,2,0.07127911842655879
13,pca_rbf-spearman,4,2,0.07127911842655879
16,pca_rbf-pearson,5,2,0.07127911842655879
17,pca_rbf-spearman,5,2,0.07127911842655879
20,pca_rbf-pearson,6,2,0.07127911842655879
21,pca_rbf-spearman,6,2,0.07127911842655879
24,pca_rbf-pearson,7,2,0.07127911842655879
8,pca_rbf-pearson,3,2,0.07127911842655879
28,pca_rbf-pearson,8,2,0.07127911842655879
1,pca_rbf-spearman,1,2,0.07127911842655879
89,pca_poly-spearman,3,2,0.07127911842655879
88,pca_poly-pearson,3,2,0.07127911842655879
85,pca_poly-spearman,2,2,0.07127911842655879
81,pca_poly-spearman,1,2,0.07127911842655879
84,pca_poly-pearson,2,2,0.07127911842655879
37,pca_rbf-spearman,10,2,0.07127911842655879
36,pca_rbf-pearson,10,2,0.07127911842655879
33,pca_rbf-spearman,9,2,0.07127911842655879
32,pca_rbf-pearson,9,2,0.07127911842655879
29,pca_rbf-spearman,8,2,0.07127911842655879
132,pca_10-pearson,4,2,0.06102204408817635
148,pca_10-pearson,8,2,0.06102204408817635
152,pca_10-pearson,9,2,0.06102204408817635
128,pca_10-pearson,3,2,0.06102204408817635
124,pca_10-pearson,2,2,0.06102204408817635
136,pca_10-pearson,5,2,0.06102204408817635
156,pca_10-pearson,10,2,0.06102204408817635
144,pca_10-pearson,7,2,0.06102204408817635
120,pca_10-pearson,1,2,0.06102204408817635
140,pca_10-pearson,6,2,0.06102204408817635
